财报类型,股票代码,上市公司,年报,年报,年报,年报,年报,年报,年报,年报,年报
(其中)以摊余成本计量的金融资产终止确认产生的投资收益,="000333",="美的集团",=0,=0,=0,=0,=0,=-709000,=0,=0,=0
汇兑收益,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
汇兑收益,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
净敞口套期收益,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
净敞口套期收益,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
公允价值变动收益,="000651",="格力电器",=-273975504,=437583989,=-343575705,=-58130545,=200153472,=228264068,=46257425,=9212504,=1093332135
公允价值变动收益,="000333",="美的集团",=1302145000,=-226492000,=-251171000,=-166406000,=1762950000,=1361163000,=-810450000,=-25045000,=117376000
信用减值损失,="000651",="格力电器",=522432618,=824045112,=416368773,=150980870,=-192824693,=279448586,=0,=0,=0
信用减值损失,="000333",="美的集团",=4595000,=198624000,=513686000,=383451000,=247605000,=96446000,=447864000,=0,=0
资产减值损失,="000651",="格力电器",=686819202,=2493579694,=966679010,=606161256,=466270322,=842893300,=261674177,=263787002,=-991560
资产减值损失,="000333",="美的集团",=1008107000,=439777000,=533363000,=483420000,=705209000,=871909000,=447864000,=269112000,=380812000
其他资产减值损失,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
其他资产减值损失,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
资产处置收益,="000651",="格力电器",=16965091,=382923792,=608426,=6212295,=2945975,=4911230,=636629,=-1022346,=0
资产处置收益,="000333",="美的集团",=214895000,=-60868000,=-59854000,=58257000,=-60523000,=-131131000,=-34934000,=1327251000,=0
其他业务成本,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
其他业务成本,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
核心利润,="000651",="格力电器",=29650035301,=27882247171,=23082452543,=22643925907,=21515824222,=25871023518,=28725832604,=25780906535,=18676381470
核心利润,="000333",="美的集团",=35434061000,=32662731000,=28855915000,=24939344000,=23125809000,=25084530000,=22298802000,=17707058000,=16855896000
核心利润率,="000651",="格力电器",=0.1560,=0.1360,=0.1214,=0.1194,=0.1262,=0.1290,=0.1436,=0.1719,=0.1696
核心利润率,="000333",="美的集团",=0.0866,=0.0874,=0.0835,=0.0726,=0.0809,=0.0898,=0.0852,=0.0732,=0.1055
三、营业利润,="000651",="格力电器",=36988437926,=32864780358,=27284097086,=26677365292,=26043517838,=29605107122,=30996884692,=26126666010,=17455697836
三、营业利润,="000333",="美的集团",=46393752000,=40317441000,=34763272000,=33281195000,=31493457000,=29683092000,=25564111000,=21627854000,=17435975000
营业利润率,="000651",="格力电器",=0.1946,=0.1603,=0.1435,=0.1407,=0.1528,=0.1477,=0.1550,=0.1742,=0.1585
营业利润率,="000333",="美的集团",=0.1134,=0.1079,=0.1006,=0.0969,=0.1102,=0.1062,=0.0976,=0.0894,=0.1091
其他营业利润率,="000651",="格力电器",=0.0488,=-0.0448,=-0.0277,=0.0185,=0.0680,=-0.0054,=0.0181,=0.0306,=-0.0651
其他营业利润率,="000333",="美的集团",=0.0934,=0.0233,=0.0040,=0.0642,=0.1313,=0.0375,=0.0403,=0.1911,=0.0710
加：营业外收入,="000651",="格力电器",=72190968,=128371809,=59810331,=154321777,=287160722,=345706663,=317857733,=511059113,=1096234774
加：营业外收入,="000333",="美的集团",=500296000,=453397000,=395406000,=624744000,=384986000,=613310000,=434756000,=467204000,=1819009000
(其中)非流动资产毁损报废利得,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=2838642
(其中)非流动资产毁损报废利得,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=60789000
减：营业外支出,="000651",="格力电器",=164633045,=177448328,=126522575,=28449570,=21741131,=598106557,=41234701,=20540169,=20742533
减：营业外支出,="000333",="美的集团",=204302000,=493675000,=202747000,=188395000,=214904000,=367288000,=225809000,=240284000,=340381000
(其中)非流动资产毁损报废损失,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
(其中)非流动资产毁损报废损失,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
四、利润总额,="000651",="格力电器",=36895995848,=32815703838,=27217384843,=26803237499,=26308937429,=29352707229,=31273507724,=26617184954,=18531190077
四、利润总额,="000333",="美的集团",=46689746000,=40277163000,=34955931000,=33717544000,=31663539000,=29929114000,=25773058000,=21854774000,=18914603000
研发费占利润总额比值,="000651",="格力电器",=0.1871,=0.2061,=0.2308,=0.2349,=0.2301,=0.2007,=0.2235,,
研发费占利润总额比值,="000333",="美的集团",=0.3477,=0.3621,=0.3610,=0.3563,=0.3196,=0.3220,=0.3250,,
息税前净利润(EBIT),="000651",="格力电器",=33274955807,=29587939381,=25407380555,=24312899739,=23688993921,=27252596245,=29957329218,,
息税前净利润(EBIT),="000333",="美的集团",=41942116000,=36133821000,=30949133000,=29893450000,=29306102000,=27002681000,=24321187000,,
息税折旧及摊销前盈利(EBITDA),="000651",="格力电器",=38531864892,=34871270598,=30377326572,=27957324597,=27277700255,=30447015485,=33067658491,,
息税折旧及摊销前盈利(EBITDA),="000333",="美的集团",=49765956000,=43482742000,=37457053000,=36076302000,=34326358000,=32170943000,=29138643000,,
减：所得税费用,="000651",="格力电器",=4524926561,=5096680925,=4206040490,=3971343866,=4029695234,=4525463625,=4894477907,=4108585910,=3006555173
减：所得税费用,="000333",="美的集团",=7932532000,=6531811000,=5145700000,=4702168000,=4156997000,=4651970000,=4122639000,=3243584000,=3052691000
有效税率,="000651",="格力电器",=0.1226,=0.1553,=0.1545,=0.1482,=0.1532,=0.1542,=0.1565,=0.1544,=0.1622
有效税率,="000333",="美的集团",=0.1699,=0.1622,=0.1472,=0.1395,=0.1313,=0.1554,=0.1600,=0.1484,=0.1614
五、净利润,="000651",="格力电器",=32371069287,=27719022914,=23011344353,=22831893633,=22279242195,=24827243604,=26379029817,=22508599044,=15524634904
五、净利润,="000333",="美的集团",=38757214000,=33745352000,=29810231000,=29015376000,=27506542000,=25277144000,=21650419000,=18611190000,=15861912000
净利润率,="000651",="格力电器",=0.1703,=0.1352,=0.1210,=0.1204,=0.1307,=0.1238,=0.1319,=0.1500,=0.1410
净利润率,="000333",="美的集团",=0.0947,=0.0903,=0.0862,=0.0845,=0.0963,=0.0905,=0.0827,=0.0769,=0.0992
(一)持续经营净利润,="000651",="格力电器",=32311066123,=27719217635,=23011552161,=22831895323,=22279523504,=24827761617,=26379101214,=22508645980,
(一)持续经营净利润,="000333",="美的集团",=38757214000,=33745352000,=29810231000,=29015376000,=27506542000,=25277144000,=21650419000,=18611190000,
(二)终止经营净利润,="000651",="格力电器",=60003164,=-194722,=-207808,=-1690,=-281308,=-518013,=-71397,=-46936,=0
(二)终止经营净利润,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
归属于母公司股东及其他权益持有者的净利润,="000651",="格力电器",=32184570372,=29017387604,=24506623782,=23063732373,=22175108137,=24696641369,=26202787681,=22401576205,=15420964991
归属于母公司股东及其他权益持有者的净利润,="000333",="美的集团",=38537237000,=33719935000,=29553507000,=28573650000,=27222969000,=24211222000,=20230779000,=17283689000,=14684357000
归属于母公司普通股股东的净利润,="000651",="格力电器",=32184570372,=29017387604,=24506623782,=23063732373,=22175108137,=24696641369,=26202787681,=22401576205,=15420964991
归属于母公司普通股股东的净利润,="000333",="美的集团",=38537237000,=33719935000,=29553507000,=28573650000,=27222969000,=24211222000,=20230779000,=17283689000,=14684357000
少数股东损益,="000651",="格力电器",=186498915,=-1298364691,=-1495279429,=-231838740,=104134058,=130602235,=176242136,=107022839,=103669913
少数股东损益,="000333",="美的集团",=219977000,=25417000,=256724000,=441726000,=283573000,=1065922000,=1419640000,=1327501000,=1177555000
归属于母公司普通股股东的扣除非经常性损益的净利润,="000651",="格力电器",=30099760383,=27565461118,=23986248264,=21850050895,=20285816036,=24171511911,=25580865501,=21170457792,=15600520445
归属于母公司普通股股东的扣除非经常性损益的净利润,="000333",="美的集团",=35741418000,=32974908000,=28607973000,=25929086000,=24614653000,=22724392000,=20058155000,=15614103000,=13492866000
扣非净利润占比,="000651",="格力电器",=0.9352,=0.9500,=0.9788,=0.9474,=0.9148,=0.9787,=0.9763,=0.9450,=1.0116
扣非净利润占比,="000333",="美的集团",=0.9275,=0.9779,=0.9680,=0.9074,=0.9042,=0.9386,=0.9915,=0.9034,=0.9189
归属于母公司普通股股东的加权ROE,="000651",="格力电器",=0.2542,=0.2653,=0.2419,=0.2134,=0.1888,=0.2572,=0.3336,=0.3744,=0.3041
归属于母公司普通股股东的加权ROE,="000333",="美的集团",=0.2129,=0.2223,=0.2221,=0.2409,=0.2495,=0.2643,=0.2566,=0.2588,=0.2688
归属于母公司普通股股东的扣非加权ROE,="000651",="格力电器",=0.2378,=0.2520,=0.2368,=0.2021,=0.1727,=0.2517,=0.3256,=0.3538,=0.3077
归属于母公司普通股股东的扣非加权ROE,="000333",="美的集团",=0.1974,=0.2174,=0.2150,=0.2186,=0.2256,=0.2480,=0.2544,=0.2338,=0.2470
六、基本每股收益,="000651",="格力电器",=5.8300,=5.2200,=4.4300,=4.0400,=3.7100,=4.1100,=4.3600,=3.7200,=2.5600
六、基本每股收益,="000333",="美的集团",=5.4400,=4.9300,=4.3400,=4.1700,=3.9300,=3.6000,=3.0800,=2.6600,=2.2900
稀释每股收益,="000651",="格力电器",=5.8300,=5.2200,=4.4300,=4.0400,=3.7100,=4.1100,=4.3600,=3.7200,=2.5600
稀释每股收益,="000333",="美的集团",=5.4200,=4.9200,=4.3300,=4.1400,=3.9000,=3.5800,=3.0500,=2.6300,=2.2800
七、综合收益总额,="000651",="格力电器",=32551333962,=26383716591,=13853473775,=26754950820,=23415223879,=31707386683,=25921755524,=22634319369,=15470165428
七、综合收益总额,="000333",="美的集团",=38038233000,=33495895000,=31703153000,=28778070000,=26328733000,=25625184000,=20434594000,=18300562000,=17050127000
归属于母公司股东及其他权益持有者的综合收益总额,="000651",="格力电器",=32360169692,=27663949866,=15345521032,=26986626350,=23310876352,=31577179863,=25743682301,=22530653868,=15368721503
归属于母公司股东及其他权益持有者的综合收益总额,="000333",="美的集团",=38183500000,=33447444000,=31419393000,=28366571000,=26385520000,=24494374000,=19143318000,=17025872000,=15768633000
归属于母公司普通股股东的综合收益总额,="000651",="格力电器",=32360169692,=27663949866,=15345521032,=26986626350,=23310876352,=31577179863,=25743682301,=22530653868,=15368721503
归属于母公司普通股股东的综合收益总额,="000333",="美的集团",=38183500000,=33447444000,=31419393000,=28366571000,=26385520000,=24494374000,=19143318000,=17025872000,=15768633000
归属于少数股东的综合收益总额,="000651",="格力电器",=191164270,=-1280233275,=-1492047257,=-231675530,=104347528,=130206820,=178073223,=103665500,=101443924
归属于少数股东的综合收益总额,="000333",="美的集团",=-145267000,=48451000,=283760000,=411499000,=-56787000,=1130810000,=1291276000,=1274690000,=1281494000
其他综合收益的税后净额,="000651",="格力电器",=180264675,=-1335306323,=-9157870578,=3923057187,=1135981684,=6880143079,=-457274293,=125720325,=-54469476
其他综合收益的税后净额,="000333",="美的集团",=-718981000,=-249457000,=1892922000,=-237306000,=-1177809000,=348040000,=-1215825000,=-310628000,=1188215000
区域收入,,,,,,,,,,,
境内收入,="000651",="格力电器",=141512822056.5900,=149661934832.9400,=129895113805.0100,=122305111567.1000,=110407002220.8700,=136073206974.4300,=148322536473.8300,=113695815039.6800,=76937875361.6900
境内收入,="000333",="美的集团",=238115217000,=221131596000,=201272589000,=203579380000,=163139841000,=161432313000,=149257311000,=136756269000,=83162174000
境内营业成本,="000651",="格力电器",=93045292807.8400,=94519678129.8300,=85650631599.1300,=80703210957.3800,=70329850923.0500,=85697917155.5300,=93103971438.4200,=68324599472.3900,=45233448281.9900
境内营业成本,="000333",="美的集团",=175882780000,=163562521000,=151542264000,=156825853000,=122571889000,=110867529000,=103686121000,=97432060000,=56959663000
境内收入占比,="000651",="格力电器",=0.7481,=0.7337,=0.6873,=0.6510,=0.6564,=0.6867,=0.7486,=0.7667,=0.7104
境内收入占比,="000333",="美的集团",=0.5848,=0.5944,=0.5852,=0.5966,=0.5740,=0.5802,=0.5748,=0.5681,=0.5229
境内毛利率,="000651",="格力电器",=0.3425,=0.3684,=0.3406,=0.3401,=0.3630,=0.3702,=0.3723,=0.3991,=0.4121
境内毛利率,="000333",="美的集团",=0.2614,=0.2603,=0.2471,=0.2297,=0.2487,=0.3132,=0.3053,=0.2875,=0.3151
海外收入,="000651",="格力电器",=28202530945.8800,=24903536019.4400,=23270725761.0900,=22535426034.8000,=20020764252.6700,=20815452041.7000,=22269892015.3400,=18493780216.0200,=16249905240.7100
海外收入,="000333",="美的集团",=169034383000,=150905684000,=142644942000,=137653828000,=121081408000,=116783704000,=110407509000,=103956032000,=64011810000
海外营业成本,="000651",="格力电器",=21431459722.4300,=18988872419.7600,=19923228263.1400,=20318027264.3700,=17591340963.6400,=18005366016.0700,=19300184350.5800,=16546092601.5200,=13463046491.9300
海外营业成本,="000333",="美的集团",=123702155000,=109918852000,=108996437000,=107700146000,=90267703000,=87046399000,=84478436000,=83028492000,=48131794000
海外收入占比,="000651",="格力电器",=0.1491,=0.1221,=0.1231,=0.1200,=0.1190,=0.1050,=0.1124,=0.1247,=0.1500
海外收入占比,="000333",="美的集团",=0.4152,=0.4056,=0.4148,=0.4034,=0.4260,=0.4198,=0.4252,=0.4319,=0.4025
海外毛利率,="000651",="格力电器",=0.2401,=0.2375,=0.1439,=0.0984,=0.1213,=0.1350,=0.1334,=0.1053,=0.1715
海外毛利率,="000333",="美的集团",=0.2682,=0.2716,=0.2359,=0.2176,=0.2545,=0.2546,=0.2348,=0.2013,=0.2481
分红、融资及涨跌幅,,,,,,,,,,,
分红金额,="000651",="格力电器",=16755416223,=13142225877,=11227683226,=16610033199,=22674077711,=7218877054,=12633034844,=0,=10828315580
分红金额,="000333",="美的集团",=24443728680,=20780277723,=17188858158,=11677509165,=11066391972,=11131489693,=8561589805,=7900827089,=6465677368
分红率,="000651",="格力电器",=0.5206,=0.4529,=0.4581,=0.7202,=1.0225,=0.2923,=0.4821,=0,=0.7022
分红率,="000333",="美的集团",=0.6343,=0.6163,=0.5816,=0.4087,=0.4065,=0.4598,=0.4232,=0.4571,=0.4403
A股分红金额,="000651",="格力电器",=16755416223,=13142225877,=11227683226,=16610033199,=22674077711,=7218877054,=12633034844,=0,=10828315580
A股分红金额,="000333",="美的集团",=22365717209.0730,=20780277723,=17188858158,=11677509165,=11066391972,=11131489693,=8561589805,=7900827089,=6465677368
A股融资金额,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
A股融资金额,="000333",="美的集团",=0,=0,=0,=0,=0,=57087800,=717841050,=366841800,=0
年度涨跌幅,="000651",="格力电器",=0.4980,=0.0512,=-0.0410,=-0.3614,=-0.0220,=0.9171,=-0.1833,=0.8588,=0.1716
年度涨跌幅,="000333",="美的集团",=0.4372,=0.1084,=-0.2756,=-0.2351,=0.7353,=0.6220,=-0.3197,=1.0248,=0.3366
客户及供应商,,,,,,,,,,,
前五大客户收入占比,="000651",="格力电器",=0.1690,=0.1774,=0.1596,=0.1625,=0.1486,=0.1705,=0.2079,=0.2207,=0.2109
前五大客户收入占比,="000333",="美的集团",=0.1363,=0.1174,=0.1136,=0.1063,=0.1387,=0.1286,=0.0976,=0.0989,=0.1010
前五大供应商采购占比,="000651",="格力电器",=0.2594,=0.2815,=0.2443,=0.3507,=0.3228,=0.2507,=0.1865,=0.2258,=0.2034
前五大供应商采购占比,="000333",="美的集团",=0.0778,=0.0619,=0.0636,=0.0626,=0.0514,=0.0541,=0.0499,=0.0573,=0.0482

数据来源于：理杏仁网站(lixinger.com)
