财报类型,股票代码,上市公司,年报,年报,年报,年报,年报,年报,年报,年报,年报
应交税费,="000333",="美的集团",=6194057000,=5455102000,=4955335000,=5404267000,=5758058000,=5096267000,=3875298000,=3544154000,=2364446000
其他应付款,="000651",="格力电器",=4556911705,=5513266517,=10912406667,=6763119937,=2379395717,=2712692974,=4747139263,=2801294165,=2352128764
其他应付款,="000333",="美的集团",=3686814000,=4442928000,=4322025000,=4288104000,=4501391000,=3800568000,=3346129000,=3360523000,=1698406000
(其中)应付利息,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=133746868,=196103906,=41781977
(其中)应付利息,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=94852000,=94801000,=21343000
(其中)应付股利,="000651",="格力电器",=3889950,=5572389,=5620664763,=2367113,=6986646,=707914,=707914,=707914,=87732812
(其中)应付股利,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=111195000,=95317000,=105641000
应付手续费及佣金,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
应付手续费及佣金,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
应付分保账款,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
应付分保账款,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
持有待售负债,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
持有待售负债,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
一年内到期的非流动负债,="000651",="格力电器",=15577179286,=20605521073,=255342538,=1255294035,=0,=0,=0,=0,=0
一年内到期的非流动负债,="000333",="美的集团",=39662733000,=14457710000,=7240626000,=28947540000,=6310181000,=1460117000,=7122712000,=136605000,=158545000
一年内到期的递延收益,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
一年内到期的递延收益,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
预计负债(流动),="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
预计负债(流动),="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
短期应付债券,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
短期应付债券,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
其他流动负债,="000651",="格力电器",=60338210355,=61058837179,=57748817603,=62414107264,=64382254284,=65181491855,=63361598765,=60912220151,=59758848572
其他流动负债,="000333",="美的集团",=90434867000,=71297928000,=57843528000,=48227953000,=49852239000,=39074777000,=31319709000,=26257990000,=24562970000
非流动负债合计,="000651",="格力电器",=25392568193,=46424449404,=36776774049,=14571347185,=3858718409,=1356200683,=833319562,=642412676,=569822520
非流动负债合计,="000333",="美的集团",=24864656000,=60492814000,=64289724000,=30269552000,=51995001000,=50140838000,=41015543000,=46089830000,=12440015000
非流动负债占比,="000651",="格力电器",=0.1121,=0.1876,=0.1453,=0.0688,=0.0238,=0.0079,=0.0053,=0.0043,=0.0045
非流动负债占比,="000333",="美的集团",=0.0660,=0.1940,=0.2376,=0.1196,=0.2202,=0.2578,=0.2395,=0.2790,=0.1224
保险合同准备金,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
保险合同准备金,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
长期借款,="000651",="格力电器",=18229817922,=39035742535,=30784241211,=8960864258,=1860713816,=46885883,=0,=0,=0
