财报类型,股票代码,上市公司,年报,年报,年报,年报,年报,年报,年报,年报,年报
(其中)处置子公司或其他营业单位收到的现金净额,="000651",="格力电器",=100813456,=35000000,=67258354,=13498800,=0,=0,=0,=0,=0
(其中)处置子公司或其他营业单位收到的现金净额,="000333",="美的集团",=78073000,=27134000,=14829000,=188490000,=42398000,=0,=24406000,=0,=272899000
(其中)处置合营或联营公司所收到的现金,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
(其中)处置合营或联营公司所收到的现金,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
收到的其他与投资活动相关的现金,="000651",="格力电器",=5165700915,=24715882327,=3443556900,=47851587196,=4322649440,=4878025331,=2652398105,=443244425,=6500000
收到的其他与投资活动相关的现金,="000333",="美的集团",=5000000,=373816000,=335082000,=0,=0,=0,=0,=0,=0
投资活动现金流入小计,="000651",="格力电器",=34854865753,=49223300661,=10527205021,=55391360333,=14155332758,=8445533871,=9948975741,=4002778582,=3440714420
投资活动现金流入小计,="000333",="美的集团",=117935837000,=122203235000,=102953948000,=127801101000,=147012656000,=89004610000,=67998046000,=89296086000,=76323327000
购建固定资产、无形资产及其他长期资产所支付的现金,="000651",="格力电器",=3299787341,=5425734303,=6036136316,=5727074800,=4528646805,=4713187966,=3837549167,=2424806991,=3276936027
购建固定资产、无形资产及其他长期资产所支付的现金,="000333",="美的集团",=7839636000,=6314051000,=7352115000,=6825357000,=4656582000,=3451856000,=5611851000,=3218402000,=2323430000
投资所支付的现金,="000651",="格力电器",=42462983877,=84267244633,=13467910482,=18154432703,=3561055957,=7192756039,=15477712506,=12419732250,=1496403699
投资所支付的现金,="000333",="美的集团",=197985757000,=146998174000,=108149195000,=105347246000,=176621347000,=108457398000,=80713830000,=94967122000,=90880725000
质押贷款净增加额,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
质押贷款净增加额,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
取得子公司、合营联营企业及其他营业单位支付的现金净额,="000651",="格力电器",=209444845,=239342398,=2031361368,=1747336404,=425875377,=774183781,=1029686313,=0,=0
取得子公司、合营联营企业及其他营业单位支付的现金净额,="000333",="美的集团",=0,=712000,=962148000,=2028912000,=1045390000,=203057000,=314653000,=25850170000,=2900256000
(其中)取得子公司及其营业单位支付的现金净额,="000651",="格力电器",=209444845,=239342398,=2031361368,=1747336404,=425875377,=774183781,=1029686313,=0,=0
(其中)取得子公司及其营业单位支付的现金净额,="000333",="美的集团",=0,=712000,=962148000,=2028912000,=1045390000,=203057000,=314653000,=25850170000,=2900256000
(其中)取得联营及合营公司支付的现金净额,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
(其中)取得联营及合营公司支付的现金净额,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
支付的其他与投资活动有关的现金,="000651",="格力电器",=4440559305,=308198671,=26048629647,=10532866,=5542024469,=7040454685,=11449793031,=51411697310,=17913927389
支付的其他与投资活动有关的现金,="000333",="美的集团",=12246000,=110153000,=0,=0,=0,=0,=0,=0,=0
投资活动现金流出小计,="000651",="格力电器",=50412775368,=90240520005,=47584037813,=25639376773,=14057602607,=19720582472,=31794741017,=66256236551,=22687267114
投资活动现金流出小计,="000333",="美的集团",=205837639000,=153423090000,=116463458000,=114201515000,=182323319000,=112112311000,=86640334000,=124035694000,=96104411000
投资活动产生的现金流量净额,="000651",="格力电器",=-15557909616,=-41017219344,=-37056832791,=29751983559,=97730150,=-11275048601,=-21845765276,=-62253457969,=-19246552694
投资活动产生的现金流量净额,="000333",="美的集团",=-87901802000,=-31219855000,=-13509510000,=13599586000,=-35310663000,=-23107701000,=-18642288000,=-34739608000,=-19781084000
筹资活动产生的现金流量,,,,,,,,,,,
吸收投资收到的现金,="000651",="格力电器",=61239812,=0,=32000000,=45113615,=14670000,=326850000,=0,=90490000,=0
吸收投资收到的现金,="000333",="美的集团",=34695921000,=2357841000,=1348283000,=1550951000,=2657489000,=2897917000,=2713366000,=1668205000,=814845000
(其中)子公司吸收少数股东投资收到的现金,="000651",="格力电器",=61239812,=0,=32000000,=45113615,=14670000,=326850000,=0,=90490000,=0
(其中)子公司吸收少数股东投资收到的现金,="000333",="美的集团",=32294000,=45581000,=26815000,=63159000,=114933000,=120427000,=615092000,=43052000,=32593000
